"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.885583692E2,6.501159894E1,2.551631478E1,1.253398819E1,1.059999943E0,1.158000031E2,3.000000000E0,1.000000000E2
1.895557474E2,6.501159467E1,2.551634244E1,1.353398641E1,1.319999933E0,1.160000000E2,3.000000000E0,1.000000000E2
1.905605291E2,6.501159245E1,2.551637169E1,1.353398375E1,1.199999928E0,1.141999969E2,3.000000000E0,1.000000000E2
1.915731819E2,6.501158863E1,2.551640262E1,1.353398144E1,1.299999952E0,1.093000031E2,3.000000000E0,1.000000000E2
1.925548878E2,6.501158381E1,2.551643078E1,1.353397979E1,1.269999981E0,1.089000015E2,3.000000000E0,1.000000000E2
1.935590595E2,6.501157891E1,2.551645241E1,1.353397894E1,1.319999933E0,1.041999969E2,3.000000000E0,1.000000000E2
1.945693640E2,6.501157438E1,2.551647378E1,1.453397799E1,1.259999990E0,1.068000031E2,3.000000000E0,1.000000000E2
1.955571078E2,6.501156667E1,2.551648510E1,1.453397929E1,1.199999928E0,1.135000000E2,3.000000000E0,1.000000000E2
1.965814498E2,6.501155703E1,2.551650102E1,1.453398072E1,1.259999990E0,1.123000031E2,3.000000000E0,1.000000000E2
1.975639534E2,6.501155188E1,2.551652265E1,1.353397995E1,1.090000033E0,1.171999969E2,3.000000000E0,1.000000000E2
1.985815882E2,6.501154794E1,2.551655064E1,1.353397802E1,1.289999962E0,1.123000031E2,3.500000000E0,1.000000000E2
1.995693760E2,6.501154174E1,2.551657579E1,1.353397720E1,1.269999981E0,1.138000031E2,2.500000000E0,1.000000000E2
2.005611498E2,6.501153620E1,2.551659247E1,1.253397713E1,1.279999971E0,1.164000015E2,2.500000000E0,1.000000000E2
2.015575435E2,6.501152870E1,2.551662365E1,1.253397605E1,1.169999957E0,1.173000031E2,3.000000000E0,1.000000000E2
2.025504959E2,6.501152346E1,2.551665173E1,1.153397455E1,1.139999986E0,1.174000015E2,3.000000000E0,1.000000000E2
2.035461644E2,6.501151915E1,2.551667646E1,1.153397313E1,1.329999924E0,1.145000000E2,3.000000000E0,1.000000000E2
2.045619987E2,6.501151265E1,2.551670135E1,1.153397243E1,1.299999952E0,1.126999969E2,3.000000000E0,1.000000000E2
2.055745981E2,6.501150896E1,2.551672323E1,1.153397113E1,1.259999990E0,1.120000000E2,3.000000000E0,1.000000000E2
2.065564806E2,6.501150175E1,2.551674351E1,1.253397122E1,1.189999938E0,1.100999985E2,3.000000000E0,1.000000000E2
