"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.573544469E0,9.263342619E-2,-8.451890945E-2,-1.033143997E-1
1.581448522E0,5.775719881E-2,-5.603027344E-2,-2.028093338E-1
1.589291540E0,8.633716404E-2,-4.181766510E-2,-1.659135818E-1
1.597256628E0,6.563019753E-2,-3.728199005E-2,-1.577024460E-1
1.605160680E0,2.197766304E-2,-2.569961548E-2,-1.949119568E-1
1.613156286E0,-2.610336244E-2,-1.213979721E-2,-2.222871780E-1
1.621060338E0,-5.808729678E-2,4.442787170E-2,-2.448081970E-1
1.628933874E0,-2.562675625E-2,6.925201416E-2,-3.148179054E-1
1.636868444E0,-4.609364271E-2,4.115867615E-2,-3.535437584E-1
1.644772497E0,4.040822387E-2,-3.473758698E-3,-3.708477020E-1
1.652646032E0,6.211838126E-2,-7.070064545E-3,-3.428697586E-1
1.660519567E0,7.899440825E-2,-1.748704910E-2,-2.720232010E-1
1.668454137E0,8.436053991E-2,-2.523231506E-2,-2.276935577E-1
1.676419225E0,9.029577672E-2,-1.600170135E-2,-1.499900818E-1
1.684292760E0,7.245025039E-2,-2.604913712E-2,-1.943149567E-1
1.692227331E0,8.517843485E-2,-3.368616104E-2,-1.835727692E-1
1.700131383E0,7.832498848E-2,-2.234792709E-2,-2.301731110E-1
1.708004919E0,4.628609121E-2,-2.376985550E-2,-1.972484589E-1
1.715939489E0,2.591280639E-2,1.822090149E-2,-6.396198273E-2
1.723813024E0,3.227189183E-2,7.454061508E-2,-2.483367920E-3
1.731747594E0,1.315100491E-2,1.088366508E-1,-2.691173553E-2
1.739590612E0,2.093493938E-2,9.006929398E-2,-5.616188049E-3
1.747525182E0,-6.086617708E-3,8.385229111E-2,-3.019046783E-2
1.755520788E0,9.910643101E-3,7.227802277E-2,-8.074474335E-2
1.763394323E0,6.587043405E-3,2.917385101E-2,-1.214637756E-1
1.771389928E0,4.347060621E-2,-4.302215576E-2,-1.978635788E-1
1.779293981E0,8.484481275E-2,-8.159399033E-2,-1.929197311E-1
1.787136999E0,1.040269136E-1,-1.127052307E-1,-2.216596603E-1
1.795132604E0,1.014089137E-1,-1.103615761E-1,-2.886610031E-1
1.803036657E0,4.591281712E-2,-8.824682236E-2,-2.914037704E-1
1.810971227E0,2.588334680E-2,-5.377864838E-2,-2.656469345E-1
1.818844762E0,7.058313489E-2,-4.991197586E-2,-1.947298050E-1
1.826748815E0,8.177767694E-2,-4.136466980E-2,-1.740226746E-1
1.834744420E0,9.599325061E-2,-5.897331238E-2,-1.462564468E-1
1.842648473E0,1.132102013E-1,-8.373594284E-2,-1.161212921E-1
1.850644079E0,1.094357967E-1,-1.132464409E-1,-1.650304794E-1
1.858548131E0,1.296599060E-1,-1.285080910E-1,-1.540117264E-1
1.866421667E0,1.715522110E-1,-1.199207306E-1,-4.238033295E-2
1.874356237E0,1.492882073E-1,-1.403245926E-1,-1.939554214E-1
1.882290807E0,3.428426385E-2,-7.209396362E-2,-1.588220596E-1
1.890164342E0,3.385828435E-2,-1.332759857E-2,-1.644544601E-1
1.898068395E0,4.213650525E-2,1.423692703E-2,-5.749797821E-2
1.905941930E0,1.213672012E-2,3.200864792E-2,-3.899192810E-2
1.913876501E0,1.550056785E-2,4.957485199E-2,-6.584453583E-2
1.921750036E0,2.074021846E-2,6.131696701E-2,-7.767963409E-2
1.929684606E0,-7.079727948E-3,5.325222015E-2,-1.633358002E-1
1.937588659E0,-3.381609917E-3,2.832841873E-2,-1.579532623E-1
1.945492711E0,-1.778817177E-2,-2.714109421E-2,-1.194295883E-1
1.953457799E0,-3.619023412E-2,-6.121015549E-2,-1.239194870E-1
1.961331335E0,-6.041968986E-2,-8.344078064E-2,-1.762275696E-1
1.969204870E0,-4.368782789E-2,-1.317462921E-1,-2.670059204E-1
1.977139440E0,-2.269837260E-2,-1.629724503E-1,-2.143230438E-1
1.985012975E0,-5.269925296E-2,-1.699976921E-1,-2.551641464E-1
1.992947545E0,-8.858188242E-2,-1.600251198E-1,-2.602281570E-1
2.000821081E0,-6.323102117E-2,-1.305975914E-1,-3.181390762E-1
2.008786169E0,-2.700103819E-2,-1.007604599E-1,-3.930521011E-1
2.016690221E0,-4.636968672E-2,-1.013207436E-1,-3.463087082E-1
2.024563756E0,-2.524425834E-2,-9.181785583E-2,-3.621139526E-1
2.032498327E0,2.446604520E-2,-6.013107300E-2,-3.328223228E-1
2.040402379E0,2.123801410E-2,-5.913162231E-2,-2.535200119E-1
2.048336950E0,7.822444290E-2,-7.007789612E-2,-1.359272003E-1
2.056241003E0,1.098143384E-1,-5.210256577E-2,-1.367473602E-2
2.064114538E0,9.010434151E-2,-3.696060181E-2,5.855941772E-2
2.072049108E0,6.464066356E-2,-3.259181976E-3,3.298473358E-2
2.079922643E0,-2.969736233E-2,1.328468323E-3,-1.150989532E-2
2.087887731E0,-5.045059696E-2,-1.590681076E-2,1.839447021E-2
2.095761266E0,-6.200652197E-2,-1.185274124E-2,1.255130768E-2
2.103726354E0,-1.126809120E-1,-1.749849319E-2,-2.782821655E-3
2.111691442E0,-1.019290760E-1,-1.404666901E-2,-7.766723633E-2
2.119595495E0,-6.342077255E-2,-3.232908249E-2,-6.863117218E-2
2.127530065E0,-1.306384802E-2,-6.754159927E-2,5.156517029E-3
2.135403600E0,3.065788001E-2,-6.953334808E-2,-4.776954651E-2
2.143338170E0,7.549539208E-3,-9.362125397E-2,-1.075429916E-1
2.151333776E0,-2.002733201E-2,-8.176374435E-2,-1.457910538E-1
2.159237829E0,-1.414849609E-2,-3.615045547E-2,-1.530580521E-1
2.167202917E0,8.379779756E-3,-3.597879410E-2,-1.914806366E-1
2.175106969E0,4.164353013E-3,-6.686019897E-2,-1.724824905E-1
2.183011022E0,2.381729335E-2,-8.073806763E-2,-1.584224701E-1
